timestamp,block_number,issued_tao,staked_tao,circulating_tao,staked_percentage,circulating_percentage,total_market_cap_usd,staked_market_cap_usd,circulating_market_cap_usd,tao_price_usd,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2024-01-28 23:59:48+00:00,2244156,6144486.963349261,5493401.698831605,651085.2645176565,89.40374894761337,10.596251052386648,1973793547.2366834,1764645427.7156765,209148119.52100682,321.23,85706,44256,89.35965179847679,89.14166999096258
2024-01-29 23:59:48+00:00,2251290,6151104.589017141,5501507.490129478,649597.0988876624,89.43934232483178,10.560657675168205,1975919327.1299763,1767249251.0542924,208670076.0756838,321.23,86241,44497,89.32087932399533,89.14129378705304
2024-01-30 23:59:48+00:00,2258418,6157629.462643165,5504654.502255327,652974.9603878381,89.3956763012572,10.6043236987428,1978015312.284864,1768260165.7594788,209755146.52538523,321.23,87173,45083,89.30156892105674,89.14157938148354
2024-01-31 23:59:48+00:00,2265555,6163936.345032727,5495602.052097936,668334.2929347912,89.15734596329219,10.842654036707815,1980041272.1148632,1765352247.19542,214689024.91944298,321.23,87808,45443,89.26746126501821,89.14545797750391
2024-02-01 23:59:48+00:00,2272684,6170455.035943915,5495934.170819183,674520.8651247323,89.0685393346919,10.931460665308105,1982135271.196264,1765458933.6922462,216676337.50401774,321.23,88398,45797,89.23439784204227,89.14533497179778
2024-02-02 23:59:48+00:00,2279812,6176967.519100621,5510570.584401646,666396.9346989756,89.2115842824441,10.788415717555925,1984227276.1606927,1770160588.8273408,214066687.33335197,321.23,88976,46055,89.20615539839876,89.14533200877813
2024-02-03 23:59:48.001000+00:00,2286951,6183409.70495466,5515353.607269997,668056.0976846628,89.19599170099693,10.804008299003073,1986296699.5225854,1771697039.2633412,214599660.25924423,321.23,89494,46251,89.17751586098049,89.14562361923262
2024-02-04 23:59:48+00:00,2294068,6189598.165904337,5519407.353956465,670190.8119478719,89.17230498678175,10.827695013218246,1988284618.83345,1772999224.3114352,215285394.52201492,321.23,90026,46481,89.16002492102159,89.12754347035253
2024-02-05 23:59:48+00:00,2301186,6196069.042793974,5529473.952714765,666595.0900792088,89.24164521932725,10.758354780672734,1990363258.6167085,1776232917.8305643,214130340.78614426,321.23,90557,46752,89.14077866924094,89.10906736857322
2024-02-06 23:59:48+00:00,2308308,6202532.587843304,5532361.318218761,670171.2696245424,89.19519953932931,10.804800460670682,1992439543.1929045,1777160426.2514126,215279116.94149178,321.23,91269,47161,89.10748472766922,89.08976972252391
2024-02-07 23:59:36+00:00,2315398,6208738.401445017,5527944.6095901,680793.7918549171,89.03490938357993,10.96509061642007,1994433036.696183,1775741646.938628,218691389.75755504,321.23,91803,47425,89.06977268280062,89.0714049614821
2024-02-08 23:59:48+00:00,2322472,6215238.397890048,5527448.654153792,687789.7437362559,88.93381557222733,11.066184427772667,1996521030.5542202,1775582331.1738229,220938699.3803975,321.23,92316,47666,89.02516085779818,89.05238269811655
2024-02-09 23:59:48+00:00,2329547,6221747.211329863,5536019.003107198,685728.2082226658,88.97852669144211,11.02147330855789,1998611856.695492,1778335384.3681252,220276472.32736695,321.23,92899,47961,88.96992323071807,89.03133671712588
2024-02-10 23:59:48+00:00,2336627,6228070.308104133,5538747.946465532,689322.3616386009,88.93200738691668,11.06799261308332,2000643025.072291,1779212002.843123,221431022.2291678,321.23,93668,48459,88.92258141635364,89.01093602017288
2024-02-11 23:59:48+00:00,2343704,6234721.806675043,5540175.182253184,694546.6244218592,88.86002221176476,11.13997778823525,2002779685.958224,1779670473.7951903,223109212.16303384,321.23,94331,48823,88.90693239420139,88.99079554159776
2024-02-12 23:59:48+00:00,2350776,6240995.236449277,5545435.18334358,695560.053105697,88.85498182976622,11.145018170233788,2004794899.8046014,1781360143.9454584,223434755.85914308,321.23,94892,49122,88.89261672696934,88.96771061546976
2024-02-13 23:59:48+00:00,2357815,6247559.089192963,5551818.841158977,695740.2480339864,88.86380683877839,11.13619316122162,2006903406.2214556,1783410766.3454983,223492639.87595746,321.23,95498,49440,88.86933763625616,88.9441595701277
2024-02-14 23:59:48+00:00,2364865,6253800.893201991,5561215.347481968,692585.5457200231,88.92536622851428,11.074633771485717,2008908460.9232757,1786429206.0716326,222479254.85164303,321.23,96120,49757,88.85956145869021,88.91981030903958
2024-02-15 23:59:48+00:00,2371898,6260281.492232637,5561233.789140927,699047.7030917099,88.83360590160292,11.166394098397081,2010990223.7498899,1786435130.08574,224555093.66414997,321.23,97113,50225,88.84161503571896,88.89913622673271
2024-02-16 23:59:48+00:00,2378948,6266457.257347088,5565589.923450304,700867.3338967841,88.81557305644982,11.184426943550193,2012974064.7776053,1787834451.1099412,225139613.66766396,321.23,97925,50708,88.8231171245998,88.87726061291472
2024-02-17 23:59:48+00:00,2385979,6272930.82919467,5574350.53840042,698580.2907942496,88.86357414395505,11.136425856044943,2015053570.262204,1790648623.450367,224404946.8118368,321.23,98535,51044,88.80312636841131,88.85970016470515
2024-02-18 23:59:48+00:00,2393007,6279241.840652681,5571847.399233622,707394.4414190594,88.73439725096604,11.265602749033965,2017080856.4728608,1789844540.0558164,227236316.41704446,321.23,99040,51310,88.77586993361406,88.83673920295038
2024-02-19 23:59:48+00:00,2400021,6285872.11765325,5577171.242721429,708700.8749318207,88.72549645193219,11.274503548067807,2019210700.3537536,1791554718.2994049,227655982.05434877,321.23,99707,51723,88.7686241341746,88.80202162740702
2024-02-20 23:59:48+00:00,2407036,6292281.082265154,5582755.384708147,709525.6975570079,88.7238715454589,11.276128454541103,2021269452.0560358,1793348512.229798,227920939.82623765,321.23,100305,51998,88.75780839426079,88.74980969302916
2024-02-21 23:59:48+00:00,2414030,6298861.286710737,5589267.552296555,709593.7344141826,88.73457118493346,11.265428815066542,2023383211.1300902,1795440415.8242223,227942795.30586788,321.23,100900,52366,88.73843005190597,88.69630901337874
2024-02-22 23:59:48+00:00,2421011,6305153.347850279,5597897.065159493,707256.2826907858,88.78288530552675,11.217114694473251,2025404409.9299452,1798212474.241184,227191935.68876114,321.23,101433,52652,88.73959369401953,88.63015576352339
2024-02-23 23:59:48+00:00,2427993,6311377.630852021,5600707.855271092,710669.7755809296,88.7398628770532,11.260137122946814,2027403836.358595,1799115384.348733,228288452.00986204,321.23,101960,52913,88.74197955937588,88.57965599673295
